,Player,Team,Rating,Career Best Rating
0,Babar Azam,PAK,887,"898 v West Indies, 10/06/2022"
1,Rassie van der Dussen,SA,787,"796 v England, 19/07/2022"
2,David Warner,AUS,747,"880 v Pakistan, 26/01/2017"
3,Quinton de Kock,SA,743,"813 v Sri Lanka, 10/03/2019"
4,Imam-ul-Haq,PAK,740,"815 v West Indies, 12/06/2022"
5,Shubman Gill,IND,734,"734 v New Zealand, 24/01/2023"
6,Virat Kohli,IND,727,"911 v England, 12/07/2018"
7,Steve Smith,AUS,719,"752 v Pakistan, 22/01/2017"
8,Rohit Sharma,IND,719,"885 v Sri Lanka, 06/07/2019"
9,Kane Williamson,NZ,700,"799 v India, 09/07/2019"
