,Name,Cuisine,Location,Ratings,Image URL
0,The Bier Library Brewery & Kitchen,"Continental,Finger Food,North Indian","Koramangala,South Bangalore",4.4,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/r/y/p48670-15414807385be1212212d20.jpg?tr=tr:n-medium
1,Uru Brewpark,"North Indian,Italian,Continental,Asian","JP Nagar,South Bangalore",4.4,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/y/t/p60213-16645391636336da1b89ad3.jpg?tr=tr:n-medium
2,The Bangalore Cafe,"Continental,North Indian,Fast Food","Shanti Nagar,Central Bangalore",4.3,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/u/u/p48391-15501219495c64fbdd483e4.jpg?tr=tr:n-medium
3,Hard Rock Cafe,"Continental,American,Finger Food","St. Marks Road,Central Bangalore",4.4,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/h/z/p3728-15819343935e4a6739ada8d.jpg?tr=tr:n-medium
4,Toscano,Italian,"UB City,,Vittal Mallya Road,Central Bangalore",4.5,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/g/h/p860-16107933836002c1a7713ed.jpg?tr=tr:n-medium
5,Sanchez,Mexican,"UB City,,Vittal Mallya Road,Central Bangalore",4.3,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/y/t/p1258-15517088875c7d32d7331ff.jpg?tr=tr:n-medium
6,Spice Terrace,"North Indian,Mughlai","JW Marriott Hotel,,Vittal Mallya Road,Central Bangalore",4.2,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/m/n/p13467-15646445765d4294e08b5cc.jpg?tr=tr:n-medium
7,Hammered,"Finger Food,Italian,North Indian","Cunningham Road,Central Bangalore",4.3,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/i/a/p23017-16019826555f7c50bfe3d65.jpg?tr=tr:n-medium
8,Cafe Azzure,"Continental,Italian,Desserts,Bengali","MG Road,Central Bangalore",4.3,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/g/h/p29533-14807615365842a0c04da29.jpg?tr=tr:n-medium
9,Biergarten,"Continental,European","Koramangala,South Bangalore",4.4,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/k/q/p50533-15783109835e131d4774e89.jpg?tr=tr:n-medium
10,Cafe Noir,"Continental,French","UB City,,Vittal Mallya Road,Central Bangalore",4.4,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/b/e/p4471-16353141816178ea05c332c.jpg?tr=tr:n-medium
11,The Biere Club,Finger Food,"Vittal Mallya Road,Central Bangalore",4.3,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/i/k/p1168-15992017925f51e2003d1f0.jpg?tr=tr:n-medium
12,Raahi,Fusion,"St. Marks Road,Central Bangalore",4,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/q/k/p71751-15743140755dd6205b7b8fa.jpg?tr=tr:n-medium
13,Farzi Cafe,Modern Indian,"UB City,,Vittal Mallya Road,Central Bangalore",4.3,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/b/i/p24670-147694699158086c2f45cba.jpg?tr=tr:n-medium
14,The London Curry House,"North Indian,Chinese,Italian","The Royal Senate,,Race Course Road,West Bangalore",4.4,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/h/e/p28483-15178959835a79412feb95b.jpg?tr=tr:n-medium
15,Shiro,"Japanese,Asian","UB City,,Vittal Mallya Road,Central Bangalore",4.3,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/z/p/p1352-162632608060efc440c2303.jpg?tr=tr:n-medium
16,Sriracha,Asian,"UB City,,Vittal Mallya Road,Central Bangalore",4.4,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/h/g/p35741-15517711065c7e25e2634b0.jpg?tr=tr:n-medium
17,Skydeck By Sherlocks,"North Indian,Chinese","MG Road,Central Bangalore",4.3,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/d/z/p37020-16154428296049b38de1604.jpg?tr=tr:n-medium
18,Just BLR,"Italian,Fast Food,Continental,Chinese,North Indian,Beverages","Deena Complex,,Brigade Road,Central Bangalore",4.3,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/r/o/p55472-15553245245cb45e6cc6fd3.jpg?tr=tr:n-medium
19,21st Amendment Gastrobar,"North Indian,Continental,Chinese,Fast Food","Indiranagar,East Bangalore",4.1,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/s/t/p64100-15789184475e1c622faf327.jpg?tr=tr:n-medium
20,Stories Brewery and Kitchen,"Continental,Italian,Chinese,North Indian","BTM Layout,South Bangalore",4.3,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/r/i/p50979-167626490063e9c5c4c5f0d.jpg?tr=tr:n-medium
